"ITIS_TSN","ScientificName_ITIS","WoRMS_AphiaID","ScientificName_WoRMS"
163666,"Abramis brama",154281,"Abramis brama"
163665,"Abramis",154271,"Abramis"
170742,"Acantholabrus palloni",126957,"Acantholabrus palloni"
166613,"Acentronura",159441,"Acentronura"
161072,"Acipenser sturio",126279,"Acipenser sturio"
161064,"Acipenseridae",125424,"Acipenseridae"
79716,"Aequipecten opercularis",140687,"Aequipecten opercularis"
167454,"Agonus cataphractus",127190,"Agonus cataphractus"
167453,"Agonus",126144,"Agonus"
163663,"Alburnus alburnus",154285,"Alburnus alburnus"
162315,"Alepocephalus bairdii",126682,"Alepocephalus bairdii"
82384,"Alloteuthis subulata",153131,"Alloteuthis subulata"
161701,"Alosa",125715,"Alosa"
572694,"Alosa agone",416357,"Alosa agone"
161708,"Alosa alosa",126413,"Alosa alosa"
161716,"Alosa fallax",126415,"Alosa fallax"
564149,"Amblyraja radiata",105865,"Amblyraja radiata"
171671,"Ammodytes",125909,"Ammodytes"
171676,"Ammodytes tobianus",126752,"Ammodytes tobianus"
171677,"Ammodytes marinus",126751,"Ammodytes marinus"
171670,"Ammodytidae",125516,"Ammodytidae"
171335,"Anarhichadidae",125517,"Anarhichadidae"
171342,"Anarhichas minor",126759,"Anarhichas minor"
171341,"Anarhichas lupus",126758,"Anarhichas lupus"
550561,"Anarhichas denticulatus",126757,"Anarhichas denticulatus"
171338,"Anarhichas ocellatus",279605,"Anarrhichthys ocellatus"
171336,"Anarhichas",125912,"Anarhichas"
161126,"Anguilla",125620,"Anguilla"
161128,"Anguilla anguilla",126281,"Anguilla anguilla"
161125,"Anguillidae",125425,"Anguillidae"
172389,"Aphanopus carbo",127085,"Aphanopus carbo"
172033,"Aphia minuta",126868,"Aphia minuta"
642604,"Apletodon dentatus",126510,"Apletodon dentatus"
164487,"Apletodon microcephalus",126510,"Apletodon dentatus"
81343,"Arctica islandica",138802,"Arctica islandica"
162061,"Argentina",125885,"Argentina"
162064,"Argentina silus",126715,"Argentina silus"
162071,"Argentina sphyraena",126716,"Argentina sphyraena"
162057,"Argentinidae",125508,"Argentinidae"
622706,"Argyropelecus olfersii",274967,"Argyropelecus olfersii"
162213,"Argyropelecus",126196,"Argyropelecus"
162220,"Argyropelecus olfersi",274967,"Argyropelecus olfersii"
162219,"Argyropelecus hemigymnus",127309,"Argyropelecus hemigymnus"
169366,"Argyrosomus regius",127007,"Argyrosomus regius"
172809,"Arnoglossus thori",127128,"Arnoglossus thori"
