Extraction date: 23/3/2009
Index calculated by ICES. The calculation method is described in the DATRAS documentation

TSN code,NODC code,Species,Variable,Value
166613,88200225,Acentronura ,,
161072,8729010107,Acipenser sturio,,
167453,88310808,Agonus ,,
167454,8831080803,Agonus cataphractus,LngtClass,200
161701,87470101,Alosa ,,
572694,,Alosa agone,,
161708,8747010107,Alosa alosa,,
161716,8747010109,Alosa fallax,,
564149,,Amblyraja radiata,LngtClass,800
171671,88450101,Ammodytes ,LngtClass,400
171677,8845010106,Ammodytes marinus,LngtClass,400
171676,8845010105,Ammodytes tobianus,LngtClass,400
171670,884501,Ammodytidae ,LngtClass,400
171335,884202,Anarhichadidae ,,
171336,88420201,Anarhichas ,LngtClass,1200
171341,8842020103,Anarhichas lupus,LngtClass,1200
171342,8842020104,Anarhichas minor,,
171338,8842020102,Anarhichas ocellatus,,
161128,8741010102,Anguilla anguilla,LngtClass,800
161125,874101,Anguillidae ,,
172033,8847016601,Aphia minuta,,
162061,87560102,Argentina ,,
162064,8756010203,Argentina silus,LngtClass,700
162071,8756010209,Argentina sphyraena,LngtClass,300
162057,875601,Argentinidae ,,
172803,88570317,Arnoglossus ,,
172806,8857031703,Arnoglossus imperialis,LngtClass,400
172805,8857031702,Arnoglossus laterna,LngtClass,250
172809,8857031706,Arnoglossus thori,,
167209,8831020308,Artediellus europaeus,,
167049,8826020801,Aspitrigla cuculus,LngtClass,500
166025,8805021003,Atherina presbyter,,
165594,8803020502,Belone belone,,
171124,884201,Blenniidae ,,
171125,88420101,Blennius ,,
171126,8842010104,Blennius ocellaris,,
172714,885703,Bothidae ,,
164740,8791031101,Brosme brosme,LngtClass,1600
173020,88580108,Buglossidium ,,
173021,8858010801,Buglossidium luteum,LngtClass,200
171691,884601,Callionymidae ,LngtClass,300
171692,88460101,Callionymus ,,
171698,8846010106,Callionymus lyra,LngtClass,300
171699,8846010107,Callionymus maculatus,,
171712,8846010120,Callionymus reticulatus,,
166309,881106,Caproidae ,,
166320,8811060301,Capros aper,,
643890,,Chelidonichthys lucernus,,
170371,8836010704,Chelon labrosus,,
161022,8716020202,Chimaera monstrosa,,
164779,8791032401,Ciliata mustella,,
164780,8791032402,Ciliata septentrionalis,,
161722,8747010201,Clupea harengus,LngtClass,400
161722,8747010201,Clupea harengus,LngtCode,0
161341,8741120111,Conger conger,LngtClass,2800
165350,8794010117,Coryphaenoides rupestris,,
167196,883102,Cottidae ,,
167255,8831020825,Cottus gobio,,
171971,8847014901,Crystallogobius linearis,,
170733,8839013501,Ctenolabrus rupestris,,
167483,883109,Cyclopteridae ,,
167612,8831091501,Cyclopterus lumpus,,
160959,8713050111,Dasyatis pastinaca,,
170316,88357501,Dicentrarchus ,,
170317,8835750101,Dicentrarchus labrax,,
164482,8784010701,Diplecogaster bimaculata,,
564126,,Dipturus batis,,
564141,,Dipturus linteus,,
564148,,Dipturus oxyrinchus,,
630409,,Echiichthys vipera,,
165116,8792020202,Echiodon drummondii,,
164747,87910315,Enchelyopus ,,
164748,8791031501,Enchelyopus cimbrius,LngtClass,450
161831,8747020104,Engraulis encrasicolus,,
166591,8820022101,Entelurus aequerius,,
160670,8710010510,Etmopterus spinax,,
167044,8826020601,Eutrigla gurnardus,LngtClass,480
164771,87910321,Gadiculus ,,
164772,8791032101,Gadiculus argenteus,LngtClass,200
164712,8791030402,Gadus morhua,LngtClass,1500
164764,87910320,Gaidropsarus ,,
164768,8791032004,Gaidropsarus argentatus,,
164766,8791032002,Gaidropsarus mediterraneus,,
164765,8791032001,Gaidropsarus vulgaris,,
160181,8708020102,Galeorhinus galeus,,
160034,8708010203,Galeus melastomus,LngtClass,750
166363,881801,Gasterosteidae ,,
166365,8818010101,Gasterosteus aculeatus,,
172873,8857040502,Glyptocephalus cynoglossus,LngtClass,520
171746,884701,Gobiidae ,LngtClass,200
171833,88470113,Gobius ,,
171838,8847011304,Gobius auratus,,
